[ClickObjectLog] [2024-08-31T10:45:35.1750539] Clicked object WorldObject{x=3214, y=3211, height=0, id=30944, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:54:48.9660197] Clicked object WorldObject{x=2221, y=6233, height=0, id=46439, type=0, face=0} option 1
[ClickObjectLog] [2024-08-31T20:54:49.5724853] Clicked object WorldObject{x=2221, y=6233, height=0, id=46439, type=0, face=0} option 1
[ClickObjectLog] [2024-08-31T20:54:49.5724853] Clicked object WorldObject{x=2221, y=6233, height=0, id=46439, type=0, face=0} option 1
[ClickObjectLog] [2024-08-31T20:54:49.5724853] Clicked object WorldObject{x=2221, y=6233, height=0, id=46439, type=0, face=0} option 1
[ClickObjectLog] [2024-08-31T20:54:51.9787489] Clicked object WorldObject{x=2221, y=6233, height=0, id=46439, type=0, face=0} option 1
[ClickObjectLog] [2024-08-31T20:54:51.9787489] Clicked object WorldObject{x=2221, y=6233, height=0, id=46439, type=0, face=0} option 1
[ClickObjectLog] [2024-08-31T21:02:03.9844585] Clicked object WorldObject{x=2544, y=5509, height=0, id=23504, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T21:02:03.9859563] Clicked object WorldObject{x=2544, y=5509, height=0, id=23504, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T21:02:03.9859563] Clicked object WorldObject{x=2544, y=5509, height=0, id=23504, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T21:18:32.6972914] Clicked object WorldObject{x=3085, y=5211, height=0, id=13932, type=10, face=3} option 1
[ClickObjectLog] [2024-08-31T21:18:56.7749866] Clicked object WorldObject{x=3193, y=3218, height=0, id=1276, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T21:18:57.3799316] Clicked object WorldObject{x=3193, y=3218, height=0, id=1276, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T21:18:57.9823474] Clicked object WorldObject{x=3193, y=3218, height=0, id=1276, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T21:18:59.7899463] Clicked object WorldObject{x=3195, y=3220, height=0, id=1276, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T21:19:00.3962813] Clicked object WorldObject{x=3195, y=3220, height=0, id=1276, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T21:19:10.618769] Clicked object WorldObject{x=3196, y=3214, height=0, id=1276, type=10, face=3} option 1
[ClickObjectLog] [2024-08-31T21:24:06.5008733] Clicked object WorldObject{x=3196, y=3214, height=0, id=1276, type=10, face=3} option 1
[ClickObjectLog] [2024-08-31T21:24:07.1055299] Clicked object WorldObject{x=3193, y=3218, height=0, id=1276, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T21:28:49.3363188] Clicked object WorldObject{x=3192, y=3230, height=0, id=8391, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T21:28:52.9449627] Clicked object WorldObject{x=3192, y=3230, height=0, id=8391, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T22:05:10.6907059] Clicked object WorldObject{x=3205, y=3220, height=0, id=10355, type=10, face=1} option 2
[ClickObjectLog] [2024-08-31T22:05:10.6956923] Clicked object WorldObject{x=3205, y=3221, height=0, id=10355, type=10, face=1} option 2
[ClickObjectLog] [2024-08-31T23:20:48.1427722] Clicked object WorldObject{x=3237, y=3209, height=0, id=27980, type=10, face=1} option 2
[ClickObjectLog] [2024-08-31T23:22:03.721118] Clicked object WorldObject{x=3237, y=3209, height=0, id=27980, type=10, face=1} option 2
[ClickObjectLog] [2024-08-31T23:29:55.8084151] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:29:58.8084795] Clicked object WorldObject{x=3253, y=3205, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:00.0165845] Clicked object WorldObject{x=3253, y=3205, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:00.6134453] Clicked object WorldObject{x=3253, y=3205, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:06.628661] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:06.628661] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:06.628661] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:07.2303464] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:07.2303464] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:07.2303464] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:07.8301235] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:07.8301235] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:07.8311217] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:08.431887] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:08.4328842] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:13.8483959] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:15.6474375] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:17.4502973] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:21.0578401] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T23:30:21.6563691] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-09-01T00:43:18.2255497] Clicked object WorldObject{x=3211, y=3237, height=0, id=51935, type=10, face=2} option 2
[ClickObjectLog] [2024-09-01T00:43:20.6225825] Clicked object WorldObject{x=3203, y=3237, height=0, id=51937, type=10, face=2} option 2
[ClickObjectLog] [2024-09-01T00:43:48.9247456] Clicked object WorldObject{x=3225, y=3231, height=0, id=43089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T00:57:54.0493228] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T00:57:58.3067472] Clicked object WorldObject{x=3541, y=5155, height=0, id=46161, type=10, face=3} option 1
[ClickObjectLog] [2024-09-01T00:58:03.1634954] Clicked object WorldObject{x=3954, y=5408, height=0, id=45506, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T00:58:56.3842247] Clicked object WorldObject{x=3549, y=5163, height=0, id=45128, type=10, face=0} option 1
[ClickObjectLog] [2024-09-01T00:59:03.0058622] Clicked object WorldObject{x=3541, y=5155, height=0, id=46161, type=10, face=3} option 1
[ClickObjectLog] [2024-09-01T00:59:07.219658] Clicked object WorldObject{x=3954, y=5408, height=0, id=45506, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:00:48.9061876] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:00:49.5072402] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:00:53.7190582] Clicked object WorldObject{x=3541, y=5155, height=0, id=46161, type=10, face=3} option 1
[ClickObjectLog] [2024-09-01T01:00:57.9269852] Clicked object WorldObject{x=3954, y=5408, height=0, id=45506, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:05:05.350428] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:05:05.9634238] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:05:11.372733] Clicked object WorldObject{x=3541, y=5155, height=0, id=46161, type=10, face=3} option 1
[ClickObjectLog] [2024-09-01T01:05:11.9815169] Clicked object WorldObject{x=3541, y=5155, height=0, id=46161, type=10, face=3} option 1
[ClickObjectLog] [2024-09-01T01:05:16.1826259] Clicked object WorldObject{x=3954, y=5408, height=0, id=45506, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:05:16.7864084] Clicked object WorldObject{x=3954, y=5408, height=0, id=45506, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:10:56.3140552] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:11:02.3604337] Clicked object WorldObject{x=3541, y=5155, height=0, id=46161, type=10, face=3} option 1
[ClickObjectLog] [2024-09-01T01:11:04.141778] Clicked object WorldObject{x=3541, y=5155, height=0, id=46161, type=10, face=3} option 1
[ClickObjectLog] [2024-09-01T01:11:07.151442] Clicked object WorldObject{x=3954, y=5408, height=0, id=45506, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:13:15.3472201] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:13:16.5520816] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-01T01:13:21.3674295] Clicked object WorldObject{x=3541, y=5155, height=0, id=46161, type=10, face=3} option 1
[ClickObjectLog] [2024-09-01T01:13:21.3685844] Clicked object WorldObject{x=3541, y=5155, height=0, id=46161, type=10, face=3} option 1
[ClickObjectLog] [2024-09-01T01:13:26.1805544] Clicked object WorldObject{x=3954, y=5408, height=0, id=45506, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T10:35:42.2028837] Clicked object WorldObject{x=3214, y=3211, height=0, id=30944, type=10, face=1} option 1
[ClickObjectLog] [2024-09-04T10:37:58.2579771] Clicked object WorldObject{x=3205, y=3227, height=0, id=30943, type=11, face=3} option 1
[ClickObjectLog] [2024-09-04T10:42:49.8535391] Clicked object WorldObject{x=3214, y=3211, height=0, id=30944, type=10, face=1} option 1
[ClickObjectLog] [2024-09-04T10:42:49.8550467] Clicked object WorldObject{x=3214, y=3211, height=0, id=30944, type=10, face=1} option 1
[ClickObjectLog] [2024-09-04T10:53:53.1181665] Clicked object WorldObject{x=3214, y=3211, height=0, id=30944, type=10, face=1} option 1
[ClickObjectLog] [2024-09-04T11:13:17.1096968] Clicked object WorldObject{x=2675, y=3719, height=0, id=33493, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T11:13:30.9523847] Clicked object WorldObject{x=2677, y=3720, height=0, id=33493, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T11:53:10.6466242] Clicked object WorldObject{x=2677, y=3718, height=0, id=33493, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T11:53:13.0505621] Clicked object WorldObject{x=2676, y=3719, height=0, id=33493, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T11:54:17.4195362] Clicked object WorldObject{x=2909, y=3612, height=0, id=33493, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T11:56:16.5294438] Clicked object WorldObject{x=3214, y=3211, height=0, id=30944, type=10, face=1} option 1
[ClickObjectLog] [2024-09-04T11:57:14.900976] Clicked object WorldObject{x=3214, y=3211, height=0, id=30944, type=10, face=1} option 1
[ClickObjectLog] [2024-09-04T12:32:54.1836888] Clicked object WorldObject{x=3358, y=9119, height=0, id=46068, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T12:32:55.3798624] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T12:32:59.5896702] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T12:33:01.9948017] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T12:33:20.6668297] Clicked object WorldObject{x=3794, y=5408, height=0, id=45754, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T12:40:22.6235268] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T12:53:51.1748385] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T12:54:05.0252898] Clicked object WorldObject{x=3796, y=5279, height=0, id=45135, type=10, face=3} option 1
[ClickObjectLog] [2024-09-04T12:54:05.6259387] Clicked object WorldObject{x=3796, y=5280, height=0, id=45135, type=10, face=3} option 1
[ClickObjectLog] [2024-09-04T13:08:19.4896777] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T13:10:46.8204292] Clicked object WorldObject{x=3673, y=5148, height=0, id=44545, type=10, face=3} option 1
[ClickObjectLog] [2024-09-04T13:11:07.5008751] Clicked object WorldObject{x=3673, y=5148, height=0, id=44545, type=10, face=3} option 1
[ClickObjectLog] [2024-09-04T13:14:20.1570816] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T13:16:24.0434523] Clicked object WorldObject{x=3356, y=9115, height=0, id=23709, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T13:16:25.2335912] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T13:16:47.5415835] Clicked object WorldObject{x=3796, y=5281, height=0, id=45135, type=10, face=3} option 1
[ClickObjectLog] [2024-09-04T13:16:47.5415835] Clicked object WorldObject{x=3796, y=5281, height=0, id=45135, type=10, face=3} option 1
[ClickObjectLog] [2024-09-04T15:05:11.1385906] Clicked object WorldObject{x=2667, y=3715, height=0, id=33494, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T15:21:06.2831142] Clicked object WorldObject{x=2681, y=3715, height=0, id=33494, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T15:32:04.8886284] Clicked object WorldObject{x=2677, y=3718, height=0, id=33494, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T15:32:04.8916522] Clicked object WorldObject{x=2677, y=3718, height=0, id=33494, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T15:37:55.8209131] Clicked object WorldObject{x=2676, y=3718, height=0, id=33493, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T16:08:37.4326665] Clicked object WorldObject{x=2668, y=3717, height=0, id=33493, type=10, face=0} option 1
[ClickObjectLog] [2024-09-04T16:42:59.0495292] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T16:43:18.3429177] Clicked object WorldObject{x=3803, y=5289, height=0, id=45494, type=10, face=3} option 1
[ClickObjectLog] [2024-09-04T16:48:18.4637864] Clicked object WorldObject{x=3358, y=9119, height=0, id=46068, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T16:48:19.053782] Clicked object WorldObject{x=3358, y=9119, height=0, id=46068, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T16:48:20.2575808] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T16:48:23.2666685] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T16:55:44.8970447] Clicked object WorldObject{x=3673, y=5148, height=0, id=44545, type=10, face=3} option 1
[ClickObjectLog] [2024-09-04T18:19:54.1619601] Clicked object WorldObject{x=2685, y=3716, height=0, id=33494, type=10, face=0} option 1
[ClickObjectLog] [2024-09-25T12:22:16.03651] Clicked object WorldObject{x=3205, y=3227, height=0, id=30943, type=11, face=3} option 1
[ClickObjectLog] [2024-09-30T08:07:15.468846] Clicked object WorldObject{x=3205, y=3216, height=0, id=10355, type=10, face=1} option 2
[ClickObjectLog] [2024-11-16T12:44:51.8823665] Clicked object WorldObject{x=3205, y=3216, height=0, id=10355, type=10, face=1} option 2
[ClickObjectLog] [2024-11-16T12:44:54.2883676] Clicked object WorldObject{x=3200, y=3217, height=0, id=365, type=10, face=2} option 1
[ClickObjectLog] [2024-11-16T12:45:24.3673287] Clicked object WorldObject{x=3200, y=3217, height=0, id=365, type=10, face=2} option 1
[ClickObjectLog] [2024-11-16T13:32:32.8007536] Clicked object WorldObject{x=3195, y=4571, height=0, id=20517, type=10, face=3} option 1
[ClickObjectLog] [2024-12-05T14:59:30.1355398] Clicked object WorldObject{x=3205, y=3221, height=0, id=10355, type=10, face=1} option 2
[ClickObjectLog] [2024-12-05T14:59:30.1395304] Clicked object WorldObject{x=3205, y=3220, height=0, id=10355, type=10, face=1} option 2
[ClickObjectLog] [2025-07-08T13:31:33.0855528] Clicked object WorldObject{x=2165, y=3428, height=0, id=1282, type=10, face=0} option 1
[ClickObjectLog] [2025-07-12T22:20:37.3788409] Clicked object WorldObject{x=3241, y=3223, height=0, id=43479, type=10, face=0} option 1
