[ItemPickupLog] [2025-08-02T20:07:30.4084133] Picked up GameItem{name=Casket, id=2714, amount=197} at Position{x=3217, y=3234, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5074423] Picked up GameItem{name=Coins, id=995, amount=4} at Position{x=2288, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5074423] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2288, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5094428] Picked up GameItem{name=Coins, id=995, amount=10} at Position{x=2282, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5104432] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2282, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5114446] Picked up GameItem{name=Coins, id=995, amount=10} at Position{x=2284, y=4765, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5114446] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2284, y=4765, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5134437] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2282, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5134437] Picked up GameItem{name=Air rune, id=556, amount=1} at Position{x=2282, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5154443] Picked up GameItem{name=Coins, id=995, amount=17} at Position{x=2278, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5154443] Picked up GameItem{name=Water rune, id=555, amount=4} at Position{x=2278, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5164468] Picked up GameItem{name=Coins, id=995, amount=30} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5174451] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5184452] Picked up GameItem{name=Coins, id=995, amount=12} at Position{x=2286, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5184452] Picked up GameItem{name=Air rune, id=556, amount=5} at Position{x=2286, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5204463] Picked up GameItem{name=Coins, id=995, amount=15} at Position{x=2284, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.521447] Picked up GameItem{name=Water rune, id=555, amount=2} at Position{x=2284, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.522447] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2286, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.522447] Picked up GameItem{name=Water rune, id=555, amount=1} at Position{x=2286, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5244515] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5244515] Picked up GameItem{name=Air rune, id=556, amount=5} at Position{x=2284, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:26.5244515] Picked up GameItem{name=Small Coin Bag, id=10832, amount=1} at Position{x=2284, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.3118497] Picked up GameItem{name=Coins, id=995, amount=3} at Position{x=2285, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.3118497] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2285, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.3138522] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2285, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.3138522] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2285, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.3148534] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2282, y=4773, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.3148534] Picked up GameItem{name=Water rune, id=555, amount=6} at Position{x=2282, y=4773, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.316854] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.316854] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.3188531] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.3188531] Picked up GameItem{name=Water rune, id=555, amount=6} at Position{x=2284, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:28.3188531] Picked up GameItem{name=Small Coin Bag, id=10832, amount=1} at Position{x=2284, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1225866] Picked up GameItem{name=Coins, id=995, amount=28} at Position{x=2287, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1225866] Picked up GameItem{name=Water rune, id=555, amount=1} at Position{x=2287, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1243487] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2279, y=4765, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1243487] Picked up GameItem{name=Water rune, id=555, amount=6} at Position{x=2279, y=4765, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1263504] Picked up GameItem{name=Coins, id=995, amount=25} at Position{x=2281, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1263504] Picked up GameItem{name=Air rune, id=556, amount=1} at Position{x=2281, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1283503] Picked up GameItem{name=Coins, id=995, amount=25} at Position{x=2278, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1283503] Picked up GameItem{name=Air rune, id=556, amount=5} at Position{x=2278, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1303513] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4766, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:30.1303513] Picked up GameItem{name=Water rune, id=555, amount=1} at Position{x=2284, y=4766, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:33.1352232] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2276, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:33.1352232] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2276, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:33.1352232] Picked up GameItem{name=Small Coin Bag, id=10832, amount=1} at Position{x=2276, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1407431] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2274, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1407431] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2274, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1447358] Picked up GameItem{name=Coins, id=995, amount=13} at Position{x=2288, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1447358] Picked up GameItem{name=Water rune, id=555, amount=1} at Position{x=2288, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1467368] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2287, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1467368] Picked up GameItem{name=Water rune, id=555, amount=3} at Position{x=2287, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.148737] Picked up GameItem{name=Coins, id=995, amount=5} at Position{x=2287, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.148737] Picked up GameItem{name=Air rune, id=556, amount=4} at Position{x=2287, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1507375] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1507375] Picked up GameItem{name=Water rune, id=555, amount=6} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1527376] Picked up GameItem{name=Coins, id=995, amount=23} at Position{x=2283, y=4774, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.153738] Picked up GameItem{name=Air rune, id=556, amount=5} at Position{x=2283, y=4774, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1547377] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2279, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1547377] Picked up GameItem{name=Air rune, id=556, amount=4} at Position{x=2279, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.156739] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.156739] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1587385] Picked up GameItem{name=Coins, id=995, amount=4} at Position{x=2285, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1587385] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2285, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.160742] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2280, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.160742] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2280, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1627408] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2283, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1627408] Picked up GameItem{name=Air rune, id=556, amount=5} at Position{x=2283, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1637387] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2283, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1637387] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2283, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1657399] Picked up GameItem{name=Coins, id=995, amount=22} at Position{x=2280, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1657399] Picked up GameItem{name=Air rune, id=556, amount=5} at Position{x=2280, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1677409] Picked up GameItem{name=Coins, id=995, amount=27} at Position{x=2283, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1677409] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2283, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1697414] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1697414] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1707423] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1707423] Picked up GameItem{name=Water rune, id=555, amount=6} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.172742] Picked up GameItem{name=Coins, id=995, amount=9} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.172742] Picked up GameItem{name=Water rune, id=555, amount=4} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1747427] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2283, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:36.1747427] Picked up GameItem{name=Air rune, id=556, amount=5} at Position{x=2283, y=4768, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:37.9468177] Picked up GameItem{name=Coins, id=995, amount=3} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:37.9468177] Picked up GameItem{name=Air rune, id=556, amount=4} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:37.947818] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:37.947818] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:37.9488186] Picked up GameItem{name=Clue scroll, id=2677, amount=1} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:37.9498182] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:37.9498182] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:37.950822] Picked up GameItem{name=Coins, id=995, amount=4} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:37.951822] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:39.7502551] Picked up GameItem{name=Coins, id=995, amount=10} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:39.7512548] Picked up GameItem{name=Water rune, id=555, amount=2} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.953281] Picked up GameItem{name=Coins, id=995, amount=10} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.953281] Picked up GameItem{name=Water rune, id=555, amount=4} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9552812] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9552812] Picked up GameItem{name=Air rune, id=556, amount=4} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9572814] Picked up GameItem{name=Coins, id=995, amount=29} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9572814] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9582811] Picked up GameItem{name=Coins, id=995, amount=5} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9582811] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2282, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9602815] Picked up GameItem{name=Coins, id=995, amount=22} at Position{x=2283, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9602815] Picked up GameItem{name=Air rune, id=556, amount=1} at Position{x=2283, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9622824] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9622824] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9632827] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9632827] Picked up GameItem{name=Water rune, id=555, amount=1} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9642832] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2281, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:40.9652831] Picked up GameItem{name=Water rune, id=555, amount=1} at Position{x=2281, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:44.5613943] Picked up GameItem{name=Coins, id=995, amount=23} at Position{x=2283, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:44.5613943] Picked up GameItem{name=Air rune, id=556, amount=5} at Position{x=2283, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.366574] Picked up GameItem{name=Coins, id=995, amount=25} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.366574] Picked up GameItem{name=Water rune, id=555, amount=3} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.368578] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2286, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.368578] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2286, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3695747] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3695747] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3715752] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3715752] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2284, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3735791] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2284, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3735791] Picked up GameItem{name=Air rune, id=556, amount=1} at Position{x=2284, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3735791] Picked up GameItem{name=Small Coin Bag, id=10832, amount=1} at Position{x=2284, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3745764] Picked up GameItem{name=Coins, id=995, amount=11} at Position{x=2283, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3755791] Picked up GameItem{name=Water rune, id=555, amount=6} at Position{x=2283, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.376579] Picked up GameItem{name=Coins, id=995, amount=6} at Position{x=2277, y=4773, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.376579] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2277, y=4773, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3785773] Picked up GameItem{name=Coins, id=995, amount=13} at Position{x=2283, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3785773] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2283, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3805781] Picked up GameItem{name=Coins, id=995, amount=12} at Position{x=2287, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3805781] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2287, y=4767, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3825773] Picked up GameItem{name=Coins, id=995, amount=25} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3825773] Picked up GameItem{name=Water rune, id=555, amount=2} at Position{x=2283, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:46.3835773] Picked up GameItem{name=Coins, id=995, amount=27} at Position{x=2282, y=4771, z=0}, owner mercy
